Student ID,First Name,Last Name,Cohort,DOB
1,Denzell,Parsons,1,2002-10-03
2,Brynnlie,Mejia,1,2002-08-14
3,Ilynn,Holt,1,2002-09-29
4,Xiomaria,Chang,2,2003-04-19
5,Deklen,Chapman,2,2003-01-01
6,Brazos,Gill,2,2003-06-04
7,Avarose,Arnold,3,2004-08-31
8,Lavaeh,Guerra,3,2004-03-04
9,Ellawyn,Reese,3,2004-10-06
10,Yasmin,Acosta,4,2005-09-24
11,Bodhi,Bowen,4,2005-08-28
12,Graye,Walton,4,2005-10-25
13,Johniel,Mcdaniel,5,2006-09-12
14,Malhar,Bowman,5,2006-02-04
15,Dayami,Barber,5,2006-09-22
16,Khyri,Padilla,6,2007-07-15
17,Malyk,Rivas,6,2007-06-14
18,Shahan,Miles,6,2007-04-05
19,Londonn,Zhang,7,2008-07-11
20,Antavious,Tate,7,2008-07-11
21,Ebba,Mckinney,7,2008-05-11
22,Azar,Harper,8,2009-01-11
23,Aayaan,Matthews,8,2009-02-13
24,Khyrin,Watts,8,2009-11-13
25,Avion,Solis,9,2010-02-14
26,Ellea,Hawkins,9,2010-02-11
27,Judea,Daniel,9,2010-10-07
28,Breyer,Barrett,10,2011-08-17
29,Ayrton,Welch,10,2011-11-14
30,Brock,Schneider,10,2011-06-01
