Student ID,First Name,Last Name,Cohort,DOB
0,Carmelita,Swanson,1,2002-11-10
1,Camara,Quinn,1,2002-03-18
2,Kalynn,Juarez,1,2002-04-28
3,Areesha,Garrett,2,2002-04-11
4,Konan,Le,2,2002-01-18
5,Sina,Frazier,2,2002-07-03
6,Roshni,Craig,3,2002-10-17
7,Yohanan,Vazquez,3,2002-05-04
8,Ariv,Cross,3,2002-11-20
9,Mealla,Serrano,4,2002-12-22
10,Isayah,Lambert,4,2002-06-11
11,Hanifa,Mccarthy,4,2002-06-15
12,Mishael,Zhang,5,2002-06-19
13,Lanora,Ray,5,2002-01-22
14,Nicte,Christensen,5,2002-04-10
15,Kashmere,Oliver,6,2002-05-15
16,Shloime,Oconnor,6,2002-07-28
17,Brienna,Ingram,6,2002-03-27
18,Tylor,Wise,7,2002-01-12
19,Fysher,Lynch,7,2002-04-02
20,Milaya,Burton,7,2002-02-03
21,Caymen,Jennings,8,2002-11-20
22,Cereza,Santiago,8,2002-01-06
23,Solo,Leon,8,2002-03-23
24,Reyes,Norris,9,2002-09-18
25,Raila,Trujillo,9,2002-11-13
26,Ryott,Khan,9,2002-06-01
27,Isabell,Stevenson,10,2002-11-28
28,Nayely,Hammond,10,2002-09-27
29,Mosese,Becker,10,2002-05-27
